[Mon May 04 15:34:47 CEST 2026][INFO] 59: Breite: 800, Höhe: 600 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 60: Breite: 800, Höhe: 600 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 61: Breite: 800, Höhe: 600 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 62: Breite: 800, Höhe: 600 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 63: Breite: 800, Höhe: 600 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 64: Breite: 800, Höhe: 600 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 65: Breite: 800, Höhe: 600 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 66: Breite: 800, Höhe: 600 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 67: Breite: 800, Höhe: 600 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 68: Breite: 1024, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 69: Breite: 1024, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 70: Breite: 1024, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 71: Breite: 1024, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 72: Breite: 1024, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 73: Breite: 1024, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 74: Breite: 1024, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 75: Breite: 1024, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 76: Breite: 1024, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 77: Breite: 1024, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 78: Breite: 1024, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 79: Breite: 1024, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 80: Breite: 1024, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 81: Breite: 1024, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 82: Breite: 1024, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 83: Breite: 1024, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 84: Breite: 1152, Höhe: 864 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 85: Breite: 1152, Höhe: 864 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 86: Breite: 1152, Höhe: 864 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 87: Breite: 1152, Höhe: 864 (Fenster.java:206)
